Path,Account,AccessType,Rights
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\家電など取説\テルモ体温計C207取説.pdf","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\非常時備え\01_持ち出しチェックリスト.pdf","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\非常時備え\01_持ち出しチェックリスト.pdf","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\非常時備え\01_持ち出しチェックリスト.pdf","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\非常時備え\01_持ち出しチェックリスト.pdf","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\非常時備え\02_持ち出しチェックリスト.pdf","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\非常時備え\02_持ち出しチェックリスト.pdf","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\非常時備え\02_持ち出しチェックリスト.pdf","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\非常時備え\02_持ち出しチェックリスト.pdf","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\非常時備え\checklist.pdf","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\非常時備え\checklist.pdf","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\非常時備え\checklist.pdf","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\非常時備え\checklist.pdf","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\立ち退き\231015_家の設計\000002_太陽光発電\EV\sakura_specsheet_01.pdf","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\立ち退き\231015_家の設計\000002_太陽光発電\EV\sakura_specsheet_01.pdf","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\立ち退き\231015_家の設計\000002_太陽光発電\EV\sakura_specsheet_01.pdf","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\立ち退き\231015_家の設計\000002_太陽光発電\EV\sakura_specsheet_01.pdf","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\立ち退き\231015_家の設計\250413_エアコン書斎・寝室\依頼ページ - ミツモア.mhtml","Everyone","Deny","(DENY)(X)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\2020年度\old\r2syotoku.data","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\2020年度\old\r2syotoku.data","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\2020年度\old\r2syotoku.data","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\2020年度\old\r2syotoku.data","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\2020年度\r2syotoku.data","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\2020年度\r2syotoku.data","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\2020年度\r2syotoku.data","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\2020年度\r2syotoku.data","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\2020年度\r2syotoku.pdf","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\2020年度\r2syotoku.pdf","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\2020年度\r2syotoku.pdf","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\2020年度\r2syotoku.pdf","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\2021年度\2021医療費控除の明細書.xlsx","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\2021年度\2021医療費控除の明細書.xlsx","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\2021年度\2021医療費控除の明細書.xlsx","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\2021年度\2021医療費控除の明細書.xlsx","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\累進課税.ods","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\累進課税.ods","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\累進課税.ods","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\確定申告\累進課税.ods","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\抵当権抹消\様式\抵当権抹消（敷地権付き区分建物）_ 記載例.doc","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\抵当権抹消\様式\抵当権抹消（敷地権付き区分建物）_ 記載例.doc","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\抵当権抹消\様式\抵当権抹消（敷地権付き区分建物）_ 記載例.doc","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\抵当権抹消\様式\抵当権抹消（敷地権付き区分建物）_ 記載例.doc","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\抵当権抹消\様式\抵当権抹消（敷地権付き区分建物）_様式.doc","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\抵当権抹消\様式\抵当権抹消（敷地権付き区分建物）_様式.doc","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\抵当権抹消\様式\抵当権抹消（敷地権付き区分建物）_様式.doc","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\抵当権抹消\様式\抵当権抹消（敷地権付き区分建物）_様式.doc","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\抵当権抹消\様式\抵当権抹消_記載例.doc","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\抵当権抹消\様式\抵当権抹消_記載例.doc","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\抵当権抹消\様式\抵当権抹消_記載例.doc","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\抵当権抹消\様式\抵当権抹消_記載例.doc","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\抵当権抹消\様式\抵当権抹消_様式.doc","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\抵当権抹消\様式\抵当権抹消_様式.doc","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\抵当権抹消\様式\抵当権抹消_様式.doc","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\01_asset\抵当権抹消\様式\抵当権抹消_様式.doc","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\50_shogo\hhkb\HHKB_Setting_20210302.hks","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\50_shogo\hhkb\HHKB_Setting_20210302.hks","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\50_shogo\hhkb\HHKB_Setting_20210302.hks","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\50_shogo\hhkb\HHKB_Setting_20210302.hks","NT AUTHORITY\SYSTEM","Allow","(F)"
